,Topic 1,Topic 2,Topic 3,Topic 4
APOBR,0.0006027392298334918,0.0,0.0,0.0
APOC1,0.0,0.0,0.00810721710830805,0.0
APOC2,0.0007361318116517297,0.0,0.0,0.0
APOC3,0.0,0.0,0.0,0.0012430010739201364
APOC4-APOC2,0.00018496419626216903,0.0,0.0,0.0
APOD,0.000833302238368626,0.0,0.0,0.0
APOF,0.0,0.0,0.0,0.0002705295000122968
APOH,0.0,0.0,0.0,0.005935253272997057
APOL1,0.0,0.003640662583719237,0.0,0.0
APOL3,0.0007934835572288535,0.0,0.0,0.0
APOLD1,0.0,0.002384269281010077,0.0,0.0
APOM,0.0005268268409508932,0.0,0.0,0.0
AQP1,0.0010212207238766491,0.0,0.0,0.0
