Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
,TCGA-35-4123-01A-01R-1107-07,GTEX-U8XE-1426-SM-3DB8Q,,TCGA-56-7823-01B-11R-2247-07
,TCGA-44-A47A-01A-21R-A24H-07,GTEX-11UD2-0726-SM-5EQ69,,TCGA-63-A5MB-01A-11R-A26W-07
,TCGA-05-4410-01A-21R-1858-07,GTEX-X4XX-1026-SM-4QARO,,TCGA-77-8144-01A-11R-2247-07
,TCGA-44-2656-01A-02R-0946-07,GTEX-WZTO-0426-SM-3NM99,,TCGA-60-2722-01A-01R-0851-07
,TCGA-97-7553-01A-21R-2039-07,GTEX-ZT9X-0326-SM-51MTE,,TCGA-22-4613-01A-01R-1443-07
,TCGA-86-8671-01A-11R-2403-07,GTEX-ZTTD-1126-SM-51MRP,,TCGA-60-2723-01A-01R-0851-07
,TCGA-69-7761-01A-11R-2170-07,GTEX-S4Q7-0426-SM-3K2BJ,,TCGA-39-5016-01A-01R-1443-07
,TCGA-69-8453-01A-12R-2326-07,GTEX-X585-1026-SM-46MW6,,TCGA-21-1075-01A-01R-0692-07
,TCGA-75-5125-01A-01R-1755-07,GTEX-WWYW-0926-SM-3NB2Z,,TCGA-66-2794-01A-01R-1201-07
,TCGA-55-6980-01A-11R-1949-07,GTEX-111CU-0326-SM-5GZXO,,TCGA-85-7696-01A-11R-2125-07
,TCGA-44-A47G-01A-21R-A24H-07,GTEX-12WSE-0826-SM-5S2VL,,TCGA-34-8454-01A-11R-2326-07
,TCGA-MP-A4T9-01A-11R-A24X-07,GTEX-147JS-1226-SM-5RQK4,,TCGA-66-2734-01A-01R-0980-07
,TCGA-44-3919-01A-02R-1107-07,GTEX-ZLV1-0426-SM-4WWC2,,TCGA-60-2708-01A-01R-0851-07
,TCGA-05-4433-01A-22R-1858-07,GTEX-11PRG-0926-SM-5EGI8,,TCGA-NK-A5CX-01A-11R-A26W-07
,TCGA-55-A48Y-01A-11R-A24H-07,GTEX-V1D1-0826-SM-3P5ZA,,TCGA-56-7730-01A-11R-2125-07
,TCGA-55-7911-01A-11R-2170-07,GTEX-SNOS-0426-SM-32PMH,,TCGA-22-4593-01A-21R-1820-07
,TCGA-55-6987-01A-11R-1949-07,GTEX-ZA64-0326-SM-5HL8T,,TCGA-58-8387-01A-11R-2296-07
,TCGA-MP-A4TH-01A-31R-A262-07,GTEX-ZG7Y-1026-SM-4WWDG,,TCGA-33-6738-01A-11R-1949-07
,TCGA-91-A4BC-01A-11R-A24H-07,GTEX-11WQC-0626-SM-5EQMF,,TCGA-85-8479-01A-11R-2326-07
,TCGA-91-6830-01A-11R-1949-07,GTEX-XMD2-1026-SM-4WWE8,,TCGA-77-8153-01A-11R-2403-07
,TCGA-55-7281-01A-11R-2039-07,GTEX-R55C-0526-SM-3GIKA,,TCGA-34-8455-01A-11R-2326-07
,TCGA-69-7974-01A-11R-2187-07,GTEX-13O61-0726-SM-5J2MD,,TCGA-33-4582-01A-01R-1443-07
,TCGA-50-5932-01A-11R-1755-07,GTEX-WFJO-0326-SM-3GIL3,,TCGA-96-A4JK-01A-11R-A24Z-07
,TCGA-44-6145-01A-11R-1755-07,GTEX-13O3P-1026-SM-5N9E7,,TCGA-60-2716-01A-01R-0851-07
,TCGA-55-8615-01A-11R-2403-07,GTEX-TML8-0326-SM-4GICN,,TCGA-33-A4WN-01A-11R-A262-07
