0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
ENSG00000092208,31.27712825581387,46.16443108855059,35.74381439622474,31.170776683120376,34.93033933680543,30.625383160586523,35.23374980469438,38.32399260419346,32.10057707013579,48.297781677013425,26.84651084863105,32.90155393163943,27.961420464183046,28.355082578651693,36.14542328155902,40.837692139869006,32.719483756787646,44.97979140092238,44.55430544957955,37.25448288038349,31.11348814085606,37.460150034595976,43.32946438619084,37.208488627837895,52.42972849385476,31.638267933789148
ENSG00000092295,15.7418059022942,15.260635673287078,22.251818203860644,24.732037956348996,19.284219832588363,19.79714762574908,20.845627029762262,18.921027672640633,24.381014355933196,16.943691578550148,21.866287899227427,18.27664287359423,18.194483704986926,18.125427442085265,14.190122721914197,20.957917509880268,21.31913438009714,14.005497854289857,21.495440045619382,14.937779550412587,23.014280734914127,17.900270013830248,15.52421349565477,19.31888075191752,18.073186980104694,22.852296036836076
ENSG00000092421,14.98235495172415,13.294552901381861,18.58389019240059,17.597165646511833,19.986988465074212,16.457044854120383,20.142999120795928,17.26896178020597,26.458304163133928,14.408777463706636,22.479418257513544,16.17705495338126,22.73189632789199,19.2130926753241,18.479660401175952,17.73937669633308,16.252519393954717,14.361966868560238,17.717855196451623,19.00408514587642,16.704369631968042,19.660786076803056,16.58806715809691,15.565342291872602,22.986762654479467,21.029771634778907
ENSG00000092607,25.214826569143913,15.509518750496142,18.77302207019218,16.11803743319094,19.425823061824655,18.643770669765967,16.85534998245701,14.280804422650004,17.97828062920112,17.047864826427023,16.836596210476333,19.874245311596614,18.431504644818396,16.646107796725612,20.44638048650326,15.982550354622187,15.712709054729192,21.53546039866375,18.23914424385836,16.804606121790854,19.51632833396644,20.398344485619308,14.2797486368076,19.94871810152159,22.2881235994919,20.387195493412097
ENSG00000092621,41.412563525637935,42.34624736746152,47.82137340031193,53.133039495671945,39.769756219423925,42.87643981737995,63.67064218428278,38.931937066563265,56.50458269616201,52.7641881590141,44.72768581252831,44.50376982504889,39.35084560322747,43.22747444828161,32.44210203131104,43.09935330847013,35.01291695016096,59.226849193383664,38.933410335095175,48.01030599410902,48.22135065766862,43.04688638055035,47.24574023784236,50.268916301537544,46.81892679328286,45.683787381853506
ENSG00000092758,8.940048068428798,10.646897568879197,11.198416915703493,9.36056014508118,11.428300166760588,11.476320131620232,11.277478964326445,10.653934791686588,8.678037059060552,10.715895554404947,10.282984249252623,10.215924063184922,10.555624685705506,7.767643392209813,11.012966304847614,11.186801258635988,9.212889754630782,11.041872061642954,11.578996864185038,11.535610537670166,12.142904763121939,10.40144932074663,9.85617799958948,10.813857156046687,10.053130251580836,9.982523890530368
ENSG00000092929,43.14071937227625,34.11968579418884,27.900607464272934,43.011465991665574,44.78391736649657,35.861920705693436,40.18145094904838,38.0638968195412,45.76229642895385,36.01240902120251,36.6447088567079,29.525394405649738,51.64916233335388,42.60574454718537,41.28182279046378,49.98895095023231,48.0118350431725,55.79947972882472,40.601053924601004,53.07071104081238,39.90333355038722,41.06616700854681,28.8808360340911,48.60058825043178,35.909207091257976,42.09473010138276
ENSG00000092964,65.90693800180694,65.82841753037513,57.531845832337524,69.00008684720913,53.556164713463396,64.89554564062485,52.23111476318641,60.37058196952467,66.2002797613818,68.91648449039666,75.2747069748623,61.61682578685745,66.78753314011905,76.84079527805348,52.34442620182423,35.87103717243284,54.9490803359517,70.92670283044173,77.17546087878897,49.266829858560556,62.30898435944643,53.999598038920574,68.65323273009315,61.46175011513775,75.62290006086981,74.0370658690494
ENSG00000092969,26.553632047985896,25.274631215287474,23.482733547958894,30.662801985540145,29.053782063624286,22.950570271948244,25.755254173699544,19.393533824332046,27.852795014521405,31.476869379317037,25.200058659989132,26.371375673953143,22.59202969925735,30.889939502283536,24.751945592080066,24.18291991033226,20.646899695222125,22.812779993555626,21.863740195855733,24.92784173441472,24.17341707869452,26.702368231868473,34.72760260671631,25.494666464415584,24.756346289581213,21.927592989532787
ENSG00000094804,34.393946249493226,44.69650437295954,27.76152280005095,33.9734498761534,44.988065827300325,49.908396644143764,45.53572216154517,37.71522823043293,43.53441471962872,23.43411386370582,39.29869114937104,45.49032273041383,37.174377642157644,33.68828350567436,43.93594442058488,37.36839193771607,39.75554510690388,36.083725177919014,33.55770255847254,37.20779378193883,35.1111954959635,33.30364174731183,35.20412655670434,36.52193170731108,33.43684179581906,30.28466067546817
ENSG00000095209,31.56981069556986,34.273554330193356,43.6982160888797,32.49550554884684,40.813669104274965,33.733625959411775,34.76932205016432,31.118731066958297,35.79362506953737,25.433147686217882,37.56170558108124,30.91367184332816,36.57155594403377,29.277620292693314,39.03777759925571,34.34020780985979,35.05125590754168,37.641745307317905,34.825449908383234,28.28744893062109,39.96634505364717,39.89522505773527,39.900860609133005,34.37968103591836,31.82450317537291,29.584585056753784
