i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12
11,20a96363-a968-445a-bd9a-96b27e403516.FPKM.txt.gz,0.368267607795,0.0933115100677,0.382555027023,0.0676350740798,0.0641569911172,0.00117641041379,0.00163674492353,0.00881455339028,0.00431350485056,0.000886570166914,0.0,0.00724600617189
12,5f5460db-801d-4d87-ac5c-4b28ab42d8b9.FPKM.txt.gz,0.200019522035,0.440775024809,0.0115830743952,0.0255087930502,0.0627308073989,0.000390440709951,3.25367258293e-05,0.00445753143861,0.0535717190779,0.19479737754,0.00606809936716,6.50734516586e-05
13,314b3b08-27e7-4936-a7d9-2dce4e4d3db7.FPKM.txt.gz,0.334716145788,0.100521169232,0.173641735372,0.245838489829,0.105663139914,0.00153387600007,0.0227815446829,0.0117132349096,0.000244025727284,0.0021090795001,0.0,0.00123755904551
14,47b14505-ca81-4d39-8eca-0cb773f8934e.FPKM.txt.gz,0.442100510968,0.114916582873,0.0708378650141,0.0843405635017,0.262440746137,0.000759270279699,2.05208183702e-05,0.00892655599105,0.00617676632944,0.000246249820443,0.0,0.00923436826661
15,fddb387d-716e-48ca-9e99-483564c5384b.FPKM.txt.gz,0.414170732209,0.153749562568,0.150867658865,0.100619609296,0.0868893966529,0.00111159142839,0.0137713826962,0.0585026451759,0.00730768439037,4.11700529035e-05,0.0,0.0129685666646
16,83053f28-d761-4d5a-acd6-855cb22e46e2.FPKM.txt.gz,0.36516351939,0.0676515557674,0.410059371339,0.0400706896209,0.0876273306725,0.00103254502492,0.002938781994,0.0181886777467,0.00403089692421,0.000853835309069,0.0,0.00238279621135
17,1b3deeeb-5fde-4154-a57f-bb575ccfb2be.FPKM.txt.gz,0.578079562638,0.140834011865,0.120390834012,0.0549028730953,0.0369605676399,0.00154123531464,8.72397347912e-05,0.047778294754,0.0102070489706,0.000436198673956,0.0,0.00878213330231
18,eb3fc2fd-468c-42b4-bffe-700011c0a918.FPKM.txt.gz,0.248541046363,0.302900893237,0.117498936623,0.0250616758826,0.131671629094,0.000425350914504,0.00102084219481,0.00124202467035,0.0311356869417,0.11547426627,0.0147001276053,0.0103275202042
19,b0a26c8d-9863-4352-8abe-dde66bdb8e55.FPKM.txt.gz,0.500899858594,0.302352487466,0.0197004756395,0.101908985731,0.0292454042936,0.00183185499422,0.0,0.0299202982388,0.0108625787376,0.00183185499422,0.0,0.00144620131122
20,dc674030-76f0-412d-8491-586a928803fb.FPKM.txt.gz,0.468223647055,0.248745888841,0.0700142852397,0.061625859606,0.0634862629149,0.000332214876582,0.000465100827215,0.000697651240823,0.0273745058304,0.054234078602,0.00172751735823,0.00307298760839
21,b30ff193-2e02-443a-9a87-7ab4027bccaf.FPKM.txt.gz,0.371227282009,0.110067388197,0.233898305085,0.0718194813151,0.0606493771697,0.000183785991423,0.102940575863,0.0424749846845,0.00422707780274,0.000224627322851,0.0,0.00228711455993
22,23e87533-2220-4b0d-b3e2-43707cb25858.FPKM.txt.gz,0.392588303416,0.103720324262,0.379017081644,0.0581933989577,0.0528011001737,0.000959033005211,0.000850463231036,0.000506658946149,0.00810654313839,0.000651418645049,1.80949623625e-05,0.00258757961783
23,f387829d-a128-4eda-9d8a-10d63bb1ee9c.FPKM.txt.gz,0.497036649671,0.160391336558,0.0874406240467,0.10620124635,0.108009761625,0.000610101538327,0.000196104065891,0.00322482241687,0.0272366758182,0.00102409901076,0.0,0.0086285788992
24,5774022a-7bf2-4fdd-a4a5-f9aa33c2174d.FPKM.txt.gz,0.255152904676,0.0400369571913,0.465729049037,0.0370712566586,0.0655419817723,0.000262350431738,0.00349040139616,0.000376415836841,0.00167676145502,4.56261620413e-05,1.14065405103e-05,0.130604888843
25,18ec943b-2068-467c-82df-07c60f4ed200.FPKM.txt.gz,0.411628710372,0.373893864101,0.0202492625761,0.032154340836,0.041747495416,0.000876936568255,0.00015944301241,0.00996518827562,0.00767983843108,0.0782067975871,0.0231723844703,0.000265738354017
26,d20acb1e-7d44-4a0f-9ad4-2cc39c8fb151.FPKM.txt.gz,0.44177852349,0.210276845638,0.113485738255,0.0649119127517,0.144861577181,0.00119546979866,0.000419463087248,0.000943791946309,0.0181417785235,0.000964765100671,6.29194630872e-05,0.0029572147651
27,430d5203-9a93-4e33-94fa-aa4e0970989c.FPKM.txt.gz,0.251610004493,0.391058858769,0.0138235734611,0.0319005541411,0.177085517448,0.000629025011233,8.98607158904e-05,0.000599071439269,0.0420847686087,0.0854575408117,0.00503220008986,0.000629025011233
28,e78e2bc9-95d1-4ee7-a42f-c548715ca6f7.FPKM.txt.gz,0.263804325005,0.393050598362,0.00862901532647,0.0194415284485,0.0504513961789,0.000608859962209,0.0,0.000398908251102,0.0726222968717,0.190699139198,0.000167961368885,0.000125971026664
29,ac3052a6-d735-4755-9145-80b9f633c838.FPKM.txt.gz,0.517155110793,0.274749821301,0.0274749821301,0.0844799857041,0.0655825589707,0.00111686919228,0.0,0.00259113652609,0.0255092923517,0.00113920657613,2.23373838456e-05,0.000178699070765
30,60f8b5a7-a7da-4dd6-88d0-97dbf4c3c269.FPKM.txt.gz,0.32102552231,0.0875774060999,0.133572544707,0.057873719544,0.0728051391863,0.000405116036808,0.000202558018404,0.0012442849702,0.0273163956247,0.000245963308062,0.0,0.297731350194
