"","MMpurple","MMturquoise","MMbrown","MMred","MMgreenyellow","MMpink","MMmagenta","MMgreen","MMyellow","MMblack","MMblue","MMgrey"
"GPR87",0.290746463973133,-0.590198151406239,-0.0443679084623009,-0.145983879229867,-0.0802519394123735,0.0852669211785197,0.188821961063618,0.488026995159597,0.407425259889667,0.391144162897399,0.809352248063884,0.581243235651302
"GPRIN2",0.218779586051694,0.711515707389664,0.135681957745706,0.283398756411033,0.0198760571091545,-0.0571291526544796,-0.156782108792688,-0.43229430620338,-0.459821042893582,-0.312830681770292,-0.56897417878522,-0.364322056357617
"GPT2",-0.395760562461599,-0.616578071767872,-0.101064981053922,-0.2849623594417,0.0985603354579775,0.0650808549392929,0.0971094109352485,0.391635015414306,0.393409355509278,0.308347716159097,0.455012793623152,0.121889302202826
"GPX2",0.0997836192624147,-0.544726468243317,-0.147430316449317,-0.306333557812357,-0.210435586300588,0.128458731741015,0.158034858338958,0.206133746246907,0.310567567130478,0.381375722397194,0.672944536725423,0.464127418461111
"GRAMD2",0.0640092120802088,0.72498309654299,0.0236330338987879,0.211066623097398,0.0715061663037359,-0.123185743738489,-0.186678085610602,-0.487593575409417,-0.482998278220596,-0.447549685289464,-0.698016853460574,-0.544947569800319
"GRASP",0.288244684437062,0.830446270068787,0.228010690746498,0.30200926373584,-0.105927799412306,-0.0496117883504291,-0.146319162168334,-0.337016361190398,-0.416604095032684,-0.308948550739151,-0.529500583408088,-0.202688562346704
"GRB7",-0.121158639327551,-0.120116202822214,-0.0263937573471939,0.00178768597966331,0.125129351188161,-0.0213308999909164,-0.0327399251711876,0.102046642309021,0.133443019202821,0.0202404664593037,0.0808098200478932,-0.110445743802368
"GREM1",-0.218637388276762,-0.541987575161683,0.19862030872815,-0.0828526932446688,0.153948774548987,0.080729251667708,0.195777912480968,0.864397492766377,0.466332215006006,0.354132713381459,0.554491997442885,0.292613392888952
"GRIA2",0.0179112208965998,-0.0901212141467997,-0.0504383225972716,-0.0859428395696178,-0.0591464108971334,0.0637463604762666,0.0411203352978738,0.076930132247205,0.144773322150012,0.228417245696081,0.159895360900945,0.26836635962375
"GRK5",0.322445786899441,0.857251924068389,0.228983832582671,0.332915729140686,-0.15783296108057,-0.0887534873259652,-0.14536713502344,-0.363250538571451,-0.420856126829935,-0.368933059519944,-0.567405981185255,-0.234139638119283
"GRP",0.123563408384683,0.301758786208596,0.125157103174911,0.162056251379991,-0.0555380352724735,0.00945245399878863,-0.0390326621319464,0.149364638180395,-0.0813124139199042,-0.0692217628101297,-0.0622136862298567,0.0236121035234361
"GRTP1",-0.0982672473124781,-0.511511041170758,-0.138119882935714,-0.250323190321923,-0.0494446553636073,0.072373285798492,0.0756908769540025,0.275928845866223,0.329310644181495,0.331334600243286,0.513839751246561,0.266772868421316
"GRXCR1",0.0384467534134584,0.0858412468176928,-0.0155802243569144,0.0190884724178654,0.0235177815817648,-0.0283238633032837,0.00334375499194224,-0.0311294122129456,-0.081820219161531,-0.0477732591065124,-0.0455156716877538,-0.00444482068287544
"GSC2",0.149786637209647,-0.190980564940833,-0.121809644829149,-0.151480875646678,-0.153638956577214,0.000693301782707031,0.0653379264056382,0.0979474427541492,0.145617707544317,0.24965173189128,0.294355195015644,0.39308219512807
"GSDMB",-0.267993302317038,-0.19852115449499,0.215220043413244,0.107989350805889,0.14975300770046,-0.0318857562993595,-0.0143136372986486,0.219484861379731,0.314970394424415,0.014004500074393,0.124230674720036,-0.0699765279314158
"GSG1",0.0862178213130295,0.376013403714377,0.0836868006283808,0.217472943315319,0.031392277220921,-0.020941769542856,-0.0392927512965106,-0.156075801042438,-0.214610638502036,-0.169832202835186,-0.285154919768634,-0.154407170710558
