,Topic 1,Topic 2
ADAM23,669.4701099817039,379985.6890514453
ADAM28,2407.210790582776,390660.9410290887
ADAM8,6066.654814503502,793085.9019162548
ADAMDEC1,1008.4396420377967,243091.49083031595
ADAMTS1,9009.700595444403,1405247.8739220481
ADAMTS18,34.25544953915609,10466.661754733992
ADAMTS19,24.41516170955195,4535.897991131276
ADAMTS4,2265.0574743512957,468392.9634964391
ADAMTS8,4506.693701968158,560391.9274684552
ADAMTSL4,8178.744935510973,1329530.6013296884
ADH1B,65529.95991989969,7565995.090675296
ADH4,67.3046393045603,8460.002055129082
ADH7,16686.514202640385,1420157.3017185489
ADIPOQ,7.681426012578512,2592.3337945078592
ADIRF,56672.156453399555,6488702.478543353
ADM,8091.384330541952,2408387.256514975
ADRA2A,1147.328490796632,125740.04244277226
ADRB1,1686.4238675795418,241423.9448114266
ADRB2,1977.612890711663,471246.14776074246
ADTRP,1385.8928958252359,308809.9981150596
AF165138.7,55.29435758858993,7174.968155395832
AFM,3.363514567193194,802.8248431661651
AFP,197.7115186458473,34448.58572228585
AGER,194025.17494986355,34926649.18062003
AGR2,91422.54285727942,11727234.925570536
AGR3,30084.088855251408,5257270.776452613
AGRP,420.0431967990018,73949.95692811487
AGT,1948.804113898895,238202.10776564523
AGTR2,657.9702041095301,260828.54067833076
AGXT,21.35918623065198,4954.459786168262
AGXT2,7.5023978519004215,765.2352560730037
AHCYL2,6613.726964476043,1358145.1173381135
AHNAK2,3925.1284468721783,1007464.9344857235
AHSG,29.984755973980487,31004.77256689988
AIF1,19911.775802028103,3378909.735599765
AIM1,2173.211088493373,472107.31899150147
AIM2,945.3083236580258,216224.1500220542
AIRE,9.526637601144861,4943.724053430565
AK1,29109.616274052663,5377851.472117631
AK4,2066.4796966059853,571262.0085159314
AKAP12,4543.035732181175,567998.8482461944
AKAP14,838.9309593084688,105083.26105700921
AKAP2,12607.11445156823,1868070.0471290557
AKNA,4063.3154962392714,631353.6160070756
AKR1B10,105210.62414626555,8736032.641751075
AKR1B15,1229.754135858398,182641.28102790596
AKR1C1,105875.06361508915,15611483.073026286
AKR1C2,147297.0955884338,16631341.239895392
AKR1C3,28605.793233462213,8056112.308499084
AKR1C4,149.14604509349394,24145.534007509472
AKR7A3,1966.0643835256583,199034.07633989843
AL022328.1,1514.160539644348,143400.60624758364
AL117190.2,75.83059967165889,17758.1025567041
AL121901.1,2.394006979846749,150.69422387618332
AL158147.2,119.85695655636292,16616.664391303853
AL160274.1,8.104795327672477,1594.6648251134864
AL161784.1,1.4866708949586789,2448.0220656591778
AL163636.6,2758.738933308447,428605.0100587682
AL353354.2,38378.918889638495,6387786.702613323
AL359693.1,4.497643497202275,408.5698317803596
AL590235.1,13.555899076844067,2684.182990340289
AL590714.1,25.33953383644832,24540.65251649476
AL603965.1,1098.8739218474457,178703.18608782298
ALB,5457.456253943243,900544.7948140885
ALDH1A1,26905.3549679503,5276221.250311412
ALDH1A2,1780.9229334811303,268697.32164398173
ALDH1A3,2859.7621360986072,479690.03518406634
ALDH3A1,97338.46484768635,7178956.550820582
ALDH3B1,8491.844650387791,1865516.1135000149
ALDH3B2,862.576119779435,326229.95131168334
ALDH8A1,98.1411107159761,33600.03969048959
ALDOB,158.61943381067624,20741.423032465467
ALG1L,1688.811399153366,442563.1745468646
ALOX15,1959.91214320227,342276.51965815295
ALOX15B,5441.9775670270765,1284248.4739620355
ALOX5,15120.243133346714,2683946.6443671985
ALOX5AP,29080.04984811081,5243177.394197863
ALPI,4.136136679057869,1195.1365242121208
ALPL,14735.471411456676,3191713.6858853363
ALPP,543.350079256721,105818.11894022024
ALX3,184.24675060069347,23173.111350734212
ALX4,19.49332778238168,3922.788192141505
AMACR,2275.607453625497,463317.23511544144
AMBN,3.21557033774242,1356.1999226958612
AMBP,900.2843246653679,111864.65234832573
AMELX,3.302401508958101,749.9413625657596
AMER2,9.541243001424814,3839.685463670764
AMICA1,7610.336030720128,1241829.1879168076
AMIGO2,5431.173291737889,826355.153551116
AMTN,411.84574755035516,349536.01703416527
AMY1A,367.1361621267239,43328.1881981656
AMY1B,756.4706907469184,140085.33254335233
AMY1C,5368.960206860534,912649.8277215532
ANG,4753.240832659155,727016.6027454807
ANGPT1,2233.8102595471796,334811.2889923145
ANGPTL4,7071.892297994898,1109658.322299506
ANHX,1.6295130388556744,159.4000642038907
ANKRD1,4147.0523380718505,1003625.301990853
ANKRD29,4481.712383103834,870755.2092442998
ANKRD33,18.79028104481855,4332.398926154587
ANKRD34C,3.8121300456704685,987.2847300824264
ANKRD36C,464.8128630293186,69910.28826698277
ANO1,2754.4328160101504,654740.689471577
ANPEP,6468.349204060184,1025047.6220504019
ANXA10,2636.1965055756687,213858.45633899857
ANXA13,155.93941634463556,23855.91977776714
ANXA3,17327.712863875167,3227508.775914406
ANXA8,3999.4912178771688,974102.6503521235
ANXA8L1,2119.1081694059344,421574.4962074008
ANXA8L2,5468.606088385236,1216671.4567337728
AOC1,1616.9638723222222,175180.73902329578
AOC3,20419.925388259988,3002243.283235103
AOX1,1311.2363333066867,236305.32938826553
AP000758.1,11.049269816583154,2369.2203802147865
AP001579.1,163.52281373572774,24922.084929819823
AP001888.1,10.400884564552259,6436.864508826425
AP3M2,2077.767251617002,470583.5078531546
APCDD1,3025.4190521254454,738648.391637472
APCS,23.170149075023414,2927.6290088459564
APLN,2525.2425356500053,525846.2594644048
