Cluster 1,Cluster 2
,TCGA-55-8097-01A-11R-2241-07
,TCGA-44-2656-01A-02R-A278-07
,TCGA-55-8087-01A-11R-2241-07
,TCGA-05-4430-01A-02R-1206-07
,TCGA-49-4501-01A-01R-1206-07
,TCGA-55-7910-01A-11R-2170-07
,TCGA-55-8505-01A-11R-2403-07
,TCGA-44-6775-01A-11R-A278-07
,TCGA-78-7158-01A-11R-2039-07
,TCGA-91-6836-01A-21R-1858-07
,TCGA-05-4405-01A-21R-1858-07
,TCGA-05-4418-01A-01R-1206-07
,TCGA-93-A4JN-01A-11R-A24X-07
,TCGA-62-A472-01A-11R-A24H-07
,TCGA-NJ-A55R-01A-11R-A262-07
,TCGA-05-4417-01A-22R-1858-07
,TCGA-NJ-A55A-01A-11R-A262-07
,TCGA-97-8174-01A-11R-2287-07
,TCGA-35-4122-01A-01R-1107-07
,TCGA-44-2657-01A-01R-1107-07
,TCGA-MN-A4N5-01A-11R-A24X-07
,TCGA-05-4382-01A-01R-1206-07
,TCGA-53-A4EZ-01A-12R-A24X-07
,TCGA-55-8205-01A-11R-2241-07
,TCGA-MP-A4TD-01A-32R-A262-07
,TCGA-99-7458-01A-11R-2039-07
,TCGA-38-4632-01A-01R-1755-07
,TCGA-55-8091-01A-11R-2241-07
,TCGA-97-8175-01A-11R-2287-07
,TCGA-05-4422-01A-01R-1206-07
,TCGA-62-A471-01A-12R-A24H-07
,TCGA-55-8508-01A-11R-2403-07
,TCGA-93-7347-01A-11R-2187-07
,TCGA-L9-A7SV-01A-11R-A39D-07
,TCGA-L9-A8F4-01A-11R-A39D-07
,TCGA-44-7670-01A-11R-2066-07
,TCGA-93-A4JO-01A-21R-A24X-07
,TCGA-49-4488-01A-01R-1755-07
,TCGA-97-7546-01A-11R-2039-07
,TCGA-55-8301-01A-11R-2287-07
,TCGA-49-4494-01A-01R-1206-07
,TCGA-49-6761-01A-31R-1949-07
,TCGA-44-5643-01A-01R-1628-07
,TCGA-44-A47B-01A-11R-A24H-07
,TCGA-95-7043-01A-11R-1949-07
,TCGA-MP-A4SW-01A-21R-A24X-07
,TCGA-95-8494-01A-11R-2326-07
,TCGA-38-4629-01A-02R-1206-07
,TCGA-64-5775-01A-01R-1628-07
,TCGA-MP-A4T4-01A-11R-A262-07
,TCGA-NJ-A55O-01A-11R-A262-07
,TCGA-86-8358-01A-11R-2326-07
,TCGA-38-4627-01A-01R-1206-07
,TCGA-05-4390-01A-02R-1755-07
,TCGA-86-6562-01A-11R-1755-07
,TCGA-78-7633-01A-11R-2066-07
,TCGA-78-7152-01A-11R-2039-07
,TCGA-95-7567-01A-11R-2066-07
,TCGA-55-A48X-01A-11R-A24H-07
,TCGA-69-8253-01A-11R-2287-07
,TCGA-55-7725-01A-11R-2170-07
,TCGA-55-7995-01A-11R-2187-07
,TCGA-50-6594-01A-11R-1755-07
,TCGA-55-A57B-01A-12R-A39D-07
,TCGA-78-7167-01A-11R-2066-07
,TCGA-86-7714-01A-12R-2170-07
,TCGA-75-5122-01A-01R-1755-07
,TCGA-97-A4M5-01A-11R-A24X-07
,TCGA-62-8394-01A-11R-2326-07
,TCGA-62-A46S-01A-11R-A24H-07
,TCGA-50-5072-01A-21R-1858-07
,TCGA-78-8660-01A-11R-2403-07
,TCGA-J2-8194-01A-11R-2241-07
,TCGA-67-3772-01A-01R-0946-07
,TCGA-91-6829-01A-21R-1858-07
,TCGA-49-6743-01A-11R-1858-07
,TCGA-NJ-A7XG-01A-12R-A39D-07
,TCGA-50-5066-01A-01R-1628-07
,TCGA-49-4505-01A-01R-1206-07
,TCGA-05-4415-01A-22R-1858-07
,TCGA-78-7154-01A-11R-2039-07
,TCGA-75-6211-01A-11R-1755-07
,TCGA-50-5068-01A-01R-1628-07
,TCGA-L9-A743-01A-43R-A39D-07
,TCGA-97-A4M2-01A-12R-A24X-07
,TCGA-44-5645-01A-01R-1628-07
,TCGA-44-2661-01A-01R-1107-07
,TCGA-55-8204-01A-11R-2241-07
,TCGA-55-8511-01A-11R-2403-07
,TCGA-78-7163-01A-12R-2066-07
,TCGA-44-5645-01A-01R-A278-07
,TCGA-86-7713-01A-11R-2066-07
,TCGA-69-7764-01A-11R-2170-07
,TCGA-86-7954-01A-11R-2187-07
,TCGA-86-8056-01A-11R-2241-07
,TCGA-64-5815-01A-01R-1628-07
,TCGA-44-3398-01A-01R-1107-07
,TCGA-55-6970-01A-11R-1949-07
,TCGA-64-1680-01A-02R-0946-07
,TCGA-55-6980-11A-01R-1949-07
,TCGA-55-6984-11A-01R-1949-07
,TCGA-50-5936-11A-01R-1628-07
,TCGA-91-6849-11A-01R-1949-07
,TCGA-55-6968-11A-01R-1949-07
,TCGA-50-5930-11A-01R-1755-07
,TCGA-49-6745-11A-01R-1858-07
,TCGA-50-5931-11A-01R-1858-07
,TCGA-44-6778-11A-01R-1858-07
,TCGA-50-5939-11A-01R-1628-07
,TCGA-44-2655-11A-01R-1758-07
,TCGA-91-6829-11A-01R-1858-07
,TCGA-44-3398-11B-01R-1758-07
,TCGA-50-5935-11A-01R-1858-07
,TCGA-49-6761-11A-01R-1949-07
,TCGA-49-6744-11A-01R-1858-07
,TCGA-44-5645-11A-01R-1628-07
,TCGA-38-4627-11A-01R-1758-07
,TCGA-55-6972-11A-01R-1949-07
,TCGA-91-6836-11A-01R-1858-07
,TCGA-44-2665-11A-01R-1758-07
,TCGA-55-6970-11A-01R-1949-07
,TCGA-44-2657-11A-01R-1758-07
,TCGA-55-6969-11A-01R-1949-07
,TCGA-44-6776-11A-01R-1858-07
,TCGA-91-6835-11A-01R-1858-07
,TCGA-91-6847-11A-01R-1949-07
,TCGA-44-6146-11A-01R-1858-07
,TCGA-55-6986-11A-01R-1949-07
,TCGA-91-6828-11A-01R-1858-07
,TCGA-44-2668-11A-01R-1758-07
,TCGA-55-6981-11A-01R-1949-07
,TCGA-55-6971-11A-01R-1949-07
,TCGA-91-6831-11A-02R-1858-07
,TCGA-44-6144-11A-01R-1755-07
,TCGA-73-4676-11A-01R-1755-07
,TCGA-38-4632-11A-01R-1755-07
,TCGA-49-6743-11A-01R-1858-07
,TCGA-49-4512-11A-01R-1858-07
,TCGA-55-6975-11A-01R-1949-07
,TCGA-49-6742-11A-01R-1858-07
,TCGA-50-5933-11A-01R-1755-07
,TCGA-49-4490-11A-01R-1858-07
,TCGA-50-5932-11A-01R-1755-07
,TCGA-50-6595-11A-01R-1858-07
,TCGA-44-6777-11A-01R-1858-07
,TCGA-38-4625-11A-01R-1758-07
,TCGA-44-6145-11A-01R-1858-07
,TCGA-55-6978-11A-01R-1949-07
,TCGA-44-6148-11A-01R-1858-07
,TCGA-55-6979-11A-01R-1949-07
,TCGA-55-6983-11A-01R-1949-07
,TCGA-55-6982-11A-01R-1949-07
,TCGA-44-2662-11A-01R-1758-07
,TCGA-44-3396-11A-01R-1758-07
,TCGA-44-2661-11A-01R-1758-07
,TCGA-38-4626-11A-01R-1758-07
,TCGA-55-6985-11A-01R-1949-07
,TCGA-44-6147-11A-01R-1858-07
,GTEX-132NY-1226-SM-5PNVF
,GTEX-Y5V6-0226-SM-4V6G7
,GTEX-P4PP-0526-SM-2HMKE
,GTEX-139TT-0726-SM-5K7XW
,GTEX-148VI-0226-SM-5RQKA
,GTEX-WHSB-0326-SM-5FQSD
,GTEX-13111-0426-SM-5DUXR
,GTEX-S32W-0326-SM-2XCBI
,GTEX-YF7O-0626-SM-4W21R
,GTEX-OHPK-0526-SM-2HMJB
,GTEX-13NYS-1626-SM-5J2MU
,GTEX-OOBK-0526-SM-2HMJJ
,GTEX-14ABY-1126-SM-5Q5F8
,GTEX-P44H-1126-SM-48TBU
,GTEX-13U4I-1426-SM-5J2M3
,GTEX-12WSG-0326-SM-5FQU3
,GTEX-12WSI-0826-SM-5EGKD
,GTEX-13D11-0326-SM-5LZXX
,GTEX-145MH-0626-SM-5NQAK
,GTEX-11DXX-0626-SM-5Q5AG
,GTEX-13O3O-0726-SM-5J1N7
,GTEX-1313W-0926-SM-5EQ56
,GTEX-O5YT-0526-SM-32PK8
,GTEX-Y5LM-0726-SM-4VBRP
,GTEX-O5YW-0526-SM-2YUMX
,GTEX-13OVJ-0726-SM-5KM1W
,GTEX-Y5V5-0826-SM-4VBQD
,GTEX-RU1J-0126-SM-2TF6Y
,GTEX-13NZ9-0926-SM-5KM12
,GTEX-12WSD-0826-SM-5GCNE
,GTEX-11DXZ-0726-SM-5N9C4
,GTEX-VUSG-0926-SM-3GIK6
,GTEX-13CF3-0426-SM-5IJEU
,GTEX-144GN-0426-SM-5O9AP
,GTEX-ZZPU-0526-SM-5E44U
,GTEX-QDVN-0726-SM-4B64L
,GTEX-12584-1426-SM-5EGJ9
,GTEX-11EQ9-0226-SM-5A5JX
,GTEX-13RTJ-1126-SM-5S2UJ
,GTEX-13FTZ-0526-SM-5IJCW
,GTEX-U412-0826-SM-3DB9K
,GTEX-131XF-1026-SM-5BC6A
,GTEX-QXCU-0626-SM-2TC69
,GTEX-T5JC-0826-SM-32PMC
,GTEX-XV7Q-0426-SM-4BRVN
,GTEX-TMMY-0926-SM-4TT1Z
,GTEX-PVOW-1026-SM-2XCF9
,GTEX-145LT-0326-SM-5LUAD
,GTEX-YFCO-0426-SM-4W1Z7
,GTEX-11TUW-0526-SM-5LU9A
,GTEX-13OVH-1026-SM-5J2NP
,GTEX-11NSD-0326-SM-5A5LS
,GTEX-QV44-0926-SM-2S1RH
,GTEX-S4Z8-0426-SM-3K2AH
